2026-03-12 05:31:05 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||910 | try=1 | status=200 | 203ms | SUCCESS
2026-03-12 05:31:07 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||910 | try=1 | status=200 | 183ms | SUCCESS
2026-03-12 05:31:10 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||911 | try=1 | status=200 | 202ms | SUCCESS
2026-03-12 05:31:11 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||913 | try=1 | status=200 | 192ms | SUCCESS
2026-03-12 05:31:13 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||914 | try=1 | status=200 | 183ms | SUCCESS
2026-03-12 05:31:15 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||915 | try=1 | status=200 | 163ms | SUCCESS
2026-03-12 05:31:17 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||917 | try=1 | status=200 | 249ms | SUCCESS
2026-03-12 05:31:19 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||919 | try=1 | status=200 | 208ms | SUCCESS
2026-03-12 05:31:22 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||920 | try=1 | status=200 | 169ms | SUCCESS
2026-03-12 05:31:24 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||923 | try=1 | status=200 | 241ms | SUCCESS
2026-03-12 05:31:26 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||924 | try=1 | status=200 | 197ms | SUCCESS
2026-03-12 05:31:29 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||925 | try=1 | status=200 | 229ms | SUCCESS
2026-03-12 05:31:32 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||928 | try=1 | status=200 | 176ms | SUCCESS
2026-03-12 05:31:34 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||929 | try=1 | status=200 | 210ms | SUCCESS
2026-03-12 05:31:37 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||931 | try=1 | status=200 | 203ms | SUCCESS
2026-03-12 05:31:38 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||934 | try=1 | status=200 | 201ms | SUCCESS
2026-03-12 05:31:41 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||934 | try=1 | status=200 | 215ms | SUCCESS
2026-03-12 05:31:43 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||937 | try=1 | status=200 | 221ms | SUCCESS
2026-03-12 05:31:45 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||937 | try=1 | status=200 | 173ms | SUCCESS
2026-03-12 05:31:48 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||939 | try=1 | status=200 | 205ms | SUCCESS
2026-03-12 05:31:49 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||940 | try=1 | status=200 | 203ms | SUCCESS
2026-03-12 05:31:51 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||941 | try=1 | status=200 | 143ms | SUCCESS
